website_visits,email_opens,company_size,days_since_signup,converted
9,0,Medium,11,No
25,3,Enterprise,9,No
44,9,Small,7,No
14,4,Small,46,No
17,2,Enterprise,55,No
6,11,Medium,43,No
4,11,Enterprise,28,Yes
49,9,Small,42,No
14,3,Medium,33,No
31,11,Small,34,Yes
46,12,Enterprise,41,No
1,2,Medium,26,No
30,8,Small,19,Yes
48,12,Enterprise,57,No
27,2,Small,5,Yes
3,10,Medium,39,Yes
12,7,Small,27,No
5,1,Small,31,No
41,2,Enterprise,26,Yes
32,1,Small,16,No
34,0,Medium,40,No
36,8,Enterprise,28,No
10,10,Enterprise,18,Yes
1,7,Enterprise,26,Yes
44,10,Medium,48,Yes
19,6,Enterprise,59,No
45,10,Small,22,Yes
11,3,Medium,43,No
21,4,Medium,38,No
49,3,Medium,23,Yes
3,5,Medium,3,No
43,8,Medium,35,Yes
10,10,Enterprise,53,No
21,9,Medium,50,No
39,2,Enterprise,16,No
29,2,Enterprise,51,Yes
6,1,Medium,54,No
24,2,Small,57,No
27,9,Enterprise,22,No
32,6,Enterprise,40,No
12,9,Medium,33,Yes
42,5,Small,15,No
33,12,Enterprise,29,Yes
3,3,Enterprise,22,No
11,9,Medium,15,Yes
5,5,Medium,17,Yes
2,6,Small,19,No
20,7,Enterprise,37,No
1,11,Enterprise,8,No
29,0,Small,7,No
18,8,Medium,11,Yes
26,1,Small,17,Yes
23,10,Small,5,No
10,12,Medium,37,No
23,4,Small,40,No
18,11,Medium,19,No
5,0,Medium,22,No
18,1,Enterprise,1,Yes
15,3,Medium,26,No
10,10,Enterprise,21,No
32,8,Enterprise,16,Yes
1,5,Enterprise,41,No
31,8,Small,34,Yes
20,4,Enterprise,17,No
6,0,Medium,16,No
10,8,Enterprise,26,Yes
27,2,Small,35,Yes
22,4,Small,53,No
46,4,Small,3,No
32,3,Small,19,No
43,1,Medium,54,No
29,3,Medium,42,No
17,8,Small,24,No
21,6,Medium,31,No
3,0,Enterprise,29,No
37,11,Small,32,No
46,7,Medium,35,Yes
21,9,Small,58,No
8,11,Medium,36,No
15,1,Enterprise,38,No
7,10,Medium,38,No
40,4,Enterprise,25,No
35,12,Enterprise,47,Yes
37,1,Enterprise,58,Yes
33,3,Medium,3,No
9,6,Small,1,Yes
32,1,Enterprise,14,No
5,12,Enterprise,48,No
4,10,Enterprise,6,No
10,12,Enterprise,16,No
9,4,Enterprise,38,No
42,5,Medium,8,No
16,1,Enterprise,13,Yes
29,3,Enterprise,1,Yes
38,3,Enterprise,22,No
43,6,Medium,16,Yes
11,9,Enterprise,18,Yes
14,4,Small,34,No
34,5,Enterprise,12,Yes
46,10,Medium,52,Yes
44,3,Enterprise,59,No
44,6,Medium,42,No
17,0,Small,47,No
29,2,Medium,11,No
14,3,Small,5,No
16,6,Enterprise,5,No
2,11,Medium,5,Yes
47,12,Enterprise,21,Yes
39,11,Small,46,No
33,1,Enterprise,48,No
36,2,Medium,55,No
31,1,Enterprise,25,No
18,10,Medium,43,No
21,7,Small,20,Yes
30,3,Small,3,Yes
19,12,Medium,29,No
9,7,Enterprise,22,Yes
42,6,Medium,9,No
39,4,Medium,43,No
1,7,Medium,59,Yes
5,11,Medium,21,Yes
23,11,Medium,45,No
35,10,Small,30,Yes
39,11,Enterprise,28,No
45,0,Small,31,No
14,9,Medium,16,Yes
41,4,Medium,19,No
13,12,Medium,15,No
48,2,Enterprise,36,Yes
1,1,Small,17,No
7,7,Small,4,Yes
4,10,Small,42,No
36,3,Small,36,No
19,5,Enterprise,40,Yes
41,4,Enterprise,39,No
38,2,Medium,24,No
8,9,Small,17,Yes
14,2,Small,4,No
21,10,Enterprise,24,Yes
33,0,Small,53,No
29,3,Medium,6,Yes
40,10,Medium,6,Yes
43,4,Enterprise,3,No
2,12,Enterprise,34,No
11,1,Enterprise,55,No
49,6,Medium,35,Yes
34,0,Medium,39,Yes
45,4,Small,8,Yes
23,8,Small,34,No
3,1,Enterprise,43,Yes
34,3,Medium,27,No
24,5,Medium,20,Yes
16,5,Enterprise,47,No
42,10,Small,59,No
35,10,Enterprise,21,No
26,11,Small,2,No
43,8,Medium,32,No
21,5,Small,7,No
24,11,Enterprise,58,No
1,10,Medium,46,Yes
13,0,Enterprise,57,No
45,7,Small,29,Yes
28,2,Medium,36,No
31,10,Medium,11,Yes
22,8,Enterprise,25,Yes
42,11,Enterprise,26,No
37,6,Medium,59,No
39,11,Medium,12,No
41,1,Medium,7,Yes
14,5,Small,40,No
9,5,Small,23,No
30,1,Medium,40,No
2,11,Enterprise,32,Yes
4,9,Medium,9,No
37,2,Small,29,No
16,0,Enterprise,24,Yes
20,7,Small,9,No
16,3,Small,23,No
33,6,Enterprise,41,No
46,3,Small,49,No
27,0,Small,10,No
49,3,Enterprise,49,No
28,3,Enterprise,39,Yes
21,11,Enterprise,44,No
41,8,Small,17,No
14,2,Medium,48,No
1,11,Small,28,No
20,6,Enterprise,37,No
5,6,Small,6,No
20,6,Medium,35,No
4,7,Medium,52,Yes
46,12,Enterprise,19,Yes
40,9,Enterprise,11,Yes
32,3,Medium,11,No
47,12,Small,56,No
16,4,Enterprise,58,No
39,11,Enterprise,33,No
21,7,Small,22,No
22,7,Medium,22,Yes
17,7,Small,49,No
7,12,Small,51,No
5,6,Medium,1,No
29,0,Enterprise,52,No
47,10,Medium,38,No
5,1,Small,37,No
18,5,Enterprise,56,No
37,3,Small,20,No
41,8,Small,16,Yes
45,1,Small,34,No
21,9,Enterprise,52,Yes
25,2,Medium,57,No
2,10,Medium,34,No
33,10,Medium,28,Yes
18,11,Medium,35,No
14,10,Small,10,No
49,12,Medium,40,No
31,9,Enterprise,53,Yes
28,9,Small,46,Yes
1,1,Medium,19,No
5,7,Enterprise,31,No
28,2,Small,13,No
35,0,Small,1,No
4,2,Enterprise,42,No
46,12,Medium,26,Yes
29,8,Enterprise,19,No
7,4,Enterprise,23,No
20,3,Small,3,No
23,8,Medium,7,Yes
24,6,Small,12,Yes
40,3,Enterprise,1,No
6,12,Small,2,Yes
44,5,Enterprise,34,No
19,3,Enterprise,9,Yes
39,1,Enterprise,25,No
15,4,Medium,6,Yes
6,6,Medium,8,No
43,7,Enterprise,31,No
21,0,Small,2,No
4,11,Small,29,No
11,6,Small,2,No
33,5,Medium,8,No
38,6,Small,1,No
19,10,Enterprise,44,No
41,6,Medium,24,No
38,1,Enterprise,2,No
22,4,Small,9,No
29,6,Medium,43,Yes
22,2,Medium,57,No
46,11,Small,7,Yes
14,2,Small,43,No
36,1,Medium,16,No
28,8,Small,20,Yes
23,5,Small,13,Yes
45,3,Enterprise,33,No
31,10,Medium,25,No
44,0,Enterprise,1,No
13,12,Small,1,Yes
22,11,Small,5,No
40,11,Medium,49,No
24,11,Enterprise,46,Yes
2,2,Enterprise,24,No
46,8,Small,25,No
24,12,Small,47,No
23,2,Small,8,No
3,12,Enterprise,56,No
37,6,Medium,53,No
2,3,Enterprise,53,No
2,3,Enterprise,32,No
38,8,Enterprise,19,Yes
44,7,Medium,57,Yes
16,10,Enterprise,53,Yes
6,4,Enterprise,53,No
22,0,Small,4,No
12,12,Medium,18,No
11,3,Medium,57,Yes
21,0,Medium,48,No
10,12,Medium,49,Yes
10,7,Small,50,No
34,5,Small,47,No
35,4,Enterprise,35,No
44,1,Small,8,No
3,4,Enterprise,46,No
4,10,Small,15,No
25,5,Medium,2,No
34,12,Medium,53,Yes
38,3,Enterprise,15,No
6,2,Enterprise,53,No
4,8,Medium,58,No
41,10,Small,13,Yes
45,5,Enterprise,16,Yes
15,10,Enterprise,3,Yes
46,7,Medium,59,Yes
40,8,Medium,21,Yes
42,10,Small,30,Yes
41,11,Medium,4,No
42,8,Medium,34,Yes
17,6,Medium,3,Yes
15,5,Enterprise,40,No
27,4,Medium,53,Yes
8,4,Enterprise,41,No
5,4,Small,47,No
21,3,Enterprise,20,No
13,2,Enterprise,44,No
16,3,Medium,15,No
21,11,Medium,41,No
24,4,Medium,53,No
26,9,Enterprise,5,Yes
2,3,Medium,40,No
49,8,Medium,18,No
18,7,Enterprise,9,No
45,11,Enterprise,27,Yes
11,11,Medium,52,No
5,8,Enterprise,46,No
26,6,Enterprise,35,No
4,7,Enterprise,34,Yes
37,3,Small,8,No
46,6,Medium,3,No
30,0,Small,1,No
8,8,Enterprise,45,No
18,10,Enterprise,26,Yes
42,10,Small,26,No
16,1,Small,13,No
46,9,Medium,18,No
28,1,Enterprise,7,Yes
24,3,Enterprise,38,No
21,10,Small,58,No
46,6,Enterprise,6,No
4,4,Small,16,No
23,12,Small,41,Yes
22,2,Medium,46,Yes
11,0,Enterprise,11,No
27,1,Medium,52,No
24,1,Small,20,No
23,12,Medium,33,No
12,0,Medium,46,No
27,3,Small,36,Yes
11,4,Small,55,No
45,9,Medium,32,Yes
46,9,Small,54,No
17,9,Enterprise,17,No
23,10,Enterprise,51,No
8,5,Enterprise,23,Yes
13,1,Enterprise,45,Yes
8,11,Small,40,No
35,5,Enterprise,21,No
25,11,Medium,54,Yes
39,8,Enterprise,2,Yes
19,5,Medium,8,No
24,10,Small,31,No
40,9,Medium,45,No
23,6,Enterprise,47,No
1,0,Medium,52,No
14,10,Small,56,Yes
31,5,Enterprise,5,No
37,6,Small,10,Yes
44,3,Small,24,Yes
38,5,Enterprise,12,No
13,8,Enterprise,10,No
18,10,Medium,49,Yes
34,9,Small,18,Yes
21,10,Medium,59,No
49,5,Enterprise,47,No
37,9,Small,43,No
41,11,Enterprise,57,No
49,5,Enterprise,26,Yes
45,12,Small,54,Yes
7,0,Small,5,No
48,1,Enterprise,13,Yes
41,10,Small,11,No
33,8,Enterprise,18,Yes
40,11,Small,19,Yes
49,0,Enterprise,34,Yes
1,1,Enterprise,27,No
36,8,Small,59,No
36,12,Medium,57,Yes
11,3,Medium,31,No
14,2,Enterprise,28,No
11,9,Enterprise,44,No
48,2,Medium,9,No
33,10,Enterprise,20,Yes
48,6,Enterprise,43,No
41,3,Small,9,Yes
35,4,Medium,49,No
41,2,Medium,55,No
47,12,Medium,14,No
28,8,Medium,57,No
18,7,Small,20,No
37,4,Small,46,No
46,5,Medium,37,Yes
29,9,Medium,21,Yes
26,4,Enterprise,42,Yes
48,2,Medium,7,Yes
10,10,Medium,40,No
6,1,Small,3,Yes
23,11,Enterprise,14,No
25,5,Enterprise,11,Yes
40,1,Small,48,No
49,10,Medium,7,No
29,10,Small,38,No
7,1,Enterprise,51,No
25,9,Medium,18,No
31,8,Medium,2,No
26,5,Medium,6,Yes
4,8,Medium,41,No
15,6,Enterprise,14,No
33,9,Small,43,No
21,7,Enterprise,15,Yes
5,8,Enterprise,6,Yes
15,3,Medium,23,No
9,5,Small,18,No
23,7,Small,5,No
49,9,Small,48,Yes
42,8,Enterprise,28,Yes
48,6,Small,34,Yes
21,10,Medium,19,Yes
2,12,Medium,56,No
14,9,Enterprise,18,Yes
43,4,Enterprise,37,No
18,5,Small,4,No
33,5,Small,5,Yes
33,3,Medium,4,Yes
31,1,Enterprise,36,No
3,2,Small,29,No
8,11,Medium,23,No
30,8,Medium,3,No
1,10,Medium,49,No
29,10,Medium,38,No
1,3,Enterprise,18,No
39,6,Small,1,No
10,1,Medium,18,No
38,12,Enterprise,38,No
48,9,Medium,11,No
41,9,Small,48,Yes
11,8,Medium,48,No
45,2,Small,54,No
7,6,Medium,35,No
45,3,Small,27,Yes
31,1,Enterprise,55,No
15,10,Medium,19,No
4,5,Medium,59,No
28,5,Enterprise,33,No
28,9,Enterprise,59,No
25,2,Enterprise,30,Yes
29,8,Medium,45,Yes
5,10,Enterprise,7,No
5,9,Enterprise,16,No
35,0,Medium,21,Yes
23,6,Medium,59,No
45,4,Enterprise,20,Yes
5,12,Small,14,Yes
23,10,Medium,35,Yes
39,9,Medium,5,Yes
43,10,Medium,25,No
22,8,Medium,23,No
5,1,Medium,17,No
38,11,Medium,55,Yes
6,9,Enterprise,13,Yes
45,5,Enterprise,12,Yes
37,11,Medium,37,No
5,10,Medium,27,No
20,6,Medium,37,No
19,2,Medium,6,No
45,3,Enterprise,42,No
9,1,Small,18,No
2,9,Small,3,No
12,8,Small,40,No
49,5,Enterprise,10,No
31,0,Small,15,No
36,0,Enterprise,49,No
22,1,Enterprise,21,No
47,5,Small,29,No
34,2,Medium,44,No
38,2,Enterprise,40,No
24,4,Medium,43,No
6,1,Small,35,No
1,11,Medium,37,No
5,11,Medium,13,No
27,3,Medium,27,No
22,6,Small,32,No
27,4,Small,26,No
5,7,Small,42,No
43,4,Medium,14,No
40,8,Enterprise,19,No
44,6,Medium,13,No
12,11,Small,26,Yes
31,9,Medium,37,No
34,9,Small,40,Yes
25,10,Enterprise,52,No
8,8,Small,43,No
37,6,Enterprise,54,Yes
2,10,Enterprise,34,No
10,6,Medium,29,No
6,10,Enterprise,31,Yes
6,8,Small,58,Yes
3,7,Medium,36,No
29,8,Medium,55,No
7,9,Medium,34,No
43,9,Medium,57,Yes
49,3,Medium,10,No
16,9,Enterprise,42,Yes
7,2,Small,46,Yes
23,2,Medium,52,Yes
27,1,Enterprise,2,No
17,2,Medium,49,No
19,1,Medium,50,No
40,1,Medium,6,No
44,11,Enterprise,32,Yes
47,9,Enterprise,33,Yes
34,4,Medium,50,No
43,7,Medium,35,Yes
7,3,Enterprise,33,Yes
49,10,Small,37,Yes
19,9,Small,29,Yes
31,5,Small,42,No
29,4,Enterprise,35,No
2,6,Medium,15,No
12,8,Enterprise,56,Yes
29,12,Small,31,Yes
6,7,Small,21,No
48,1,Small,36,No
21,5,Enterprise,56,No
40,5,Medium,6,No
24,4,Enterprise,21,No
37,10,Medium,14,No
31,4,Medium,22,No
2,1,Medium,43,No
47,5,Enterprise,17,No
41,11,Enterprise,22,Yes
7,8,Small,32,No
40,8,Enterprise,23,Yes
7,9,Enterprise,56,Yes
5,10,Medium,26,No
36,12,Medium,36,Yes
5,5,Enterprise,29,Yes
42,11,Enterprise,46,No
48,3,Small,30,No
20,2,Small,36,No
11,6,Enterprise,56,No
2,6,Medium,48,No
10,0,Medium,30,No
20,12,Medium,15,Yes
12,10,Small,25,Yes
40,8,Enterprise,42,Yes
27,10,Small,13,No
30,5,Enterprise,43,Yes
18,4,Small,4,Yes
46,11,Medium,42,Yes
22,9,Enterprise,20,Yes
22,4,Medium,34,No
17,7,Enterprise,39,Yes
19,0,Small,41,No
49,2,Enterprise,8,No
43,7,Small,4,Yes
46,1,Small,23,No
39,12,Enterprise,5,Yes
12,11,Small,45,No
39,7,Medium,53,No
45,8,Enterprise,32,Yes
11,0,Enterprise,25,No
41,3,Medium,8,Yes
12,5,Medium,56,No
22,4,Small,19,No
7,0,Enterprise,22,Yes
16,1,Small,6,No
15,2,Medium,4,No
35,2,Small,48,No
46,4,Small,43,No
19,1,Medium,29,No
28,6,Medium,35,Yes
9,1,Medium,18,No
36,1,Medium,36,No
2,9,Medium,27,No
14,0,Medium,46,Yes
39,0,Small,51,No
10,6,Enterprise,34,No
39,8,Small,51,Yes
28,10,Enterprise,49,No
40,12,Medium,59,No
32,9,Small,48,Yes
24,2,Enterprise,34,No
7,12,Medium,33,No
10,5,Enterprise,37,No
21,8,Medium,8,Yes
24,1,Medium,57,No
42,7,Small,22,Yes
23,5,Enterprise,18,No
31,10,Medium,27,Yes
32,3,Medium,4,No
19,1,Enterprise,2,Yes
1,2,Enterprise,41,No
19,8,Enterprise,21,No
27,9,Small,27,Yes
39,7,Medium,8,Yes
29,1,Small,56,No
13,8,Medium,20,No
38,10,Small,18,Yes
12,5,Small,32,Yes
48,12,Small,53,No
46,0,Enterprise,43,No
42,7,Enterprise,41,Yes
44,1,Small,12,No
35,2,Medium,32,No
37,6,Enterprise,22,Yes
18,4,Small,1,No
30,12,Small,17,No
9,9,Enterprise,29,No
11,1,Medium,48,No
6,4,Small,1,No
38,5,Medium,7,No
20,2,Medium,39,No
25,6,Medium,19,No
46,12,Enterprise,37,Yes
49,5,Small,33,No
31,0,Small,10,No
49,4,Small,35,No
8,3,Small,22,No
49,1,Small,59,No
34,5,Small,56,No
8,7,Medium,39,No
16,5,Small,32,No
18,1,Medium,40,No
9,6,Small,42,No
31,11,Medium,27,Yes
44,4,Small,4,No
9,11,Small,53,No
20,12,Medium,10,Yes
36,2,Medium,5,No
43,8,Medium,29,Yes
9,4,Medium,13,No
15,2,Enterprise,18,No
47,5,Small,38,Yes
25,12,Medium,52,Yes
12,1,Enterprise,25,No
21,4,Medium,38,No
13,12,Medium,45,No
39,4,Enterprise,15,No
12,12,Small,37,No
17,2,Enterprise,57,No
43,0,Medium,23,Yes
3,5,Small,13,No
48,10,Small,48,Yes
49,10,Small,56,Yes
8,1,Medium,21,No
12,0,Small,5,No
13,5,Medium,19,No
11,5,Small,41,No
17,3,Enterprise,2,No
21,8,Small,20,Yes
26,11,Enterprise,37,Yes
40,9,Small,31,No
48,1,Small,33,No
27,5,Enterprise,12,Yes
29,8,Medium,17,No
42,4,Small,47,No
28,10,Enterprise,43,Yes
19,5,Enterprise,9,No
25,2,Enterprise,52,No
10,3,Small,4,Yes
48,9,Small,16,No
43,3,Enterprise,38,No
21,5,Medium,4,Yes
9,2,Small,24,No
5,8,Enterprise,23,No
19,12,Enterprise,36,No
28,3,Small,46,No
42,9,Enterprise,57,Yes
6,10,Small,50,No
6,10,Medium,36,No
2,0,Enterprise,29,No
15,11,Enterprise,41,Yes
45,7,Small,49,No
9,1,Medium,36,No
23,5,Small,8,No
16,7,Small,59,No
28,4,Small,6,No
27,6,Enterprise,51,Yes
49,0,Small,34,No
28,9,Small,5,Yes
49,2,Small,12,Yes
29,8,Medium,1,Yes
37,11,Enterprise,15,No
27,5,Enterprise,3,Yes
34,4,Enterprise,25,Yes
22,5,Enterprise,46,No
31,3,Enterprise,46,No
20,4,Enterprise,3,Yes
42,11,Enterprise,14,Yes
7,3,Enterprise,44,No
9,9,Small,51,No
32,5,Medium,46,No
8,12,Enterprise,6,No
25,12,Enterprise,46,Yes
10,5,Enterprise,50,No
39,7,Medium,1,Yes
7,8,Small,57,No
45,12,Small,15,No
1,9,Small,27,Yes
46,0,Enterprise,14,No
11,4,Small,19,No
35,10,Medium,30,No
4,10,Medium,29,No
26,11,Enterprise,22,Yes
26,11,Enterprise,56,Yes
22,3,Medium,47,No
37,11,Small,6,Yes
38,8,Enterprise,20,Yes
7,7,Medium,30,No
9,2,Enterprise,58,No
1,2,Small,9,No
18,8,Small,53,Yes
22,3,Medium,4,Yes
9,6,Medium,25,No
44,2,Medium,20,No
46,3,Small,11,No
13,7,Medium,15,Yes
28,7,Small,41,No
6,7,Enterprise,9,No
43,12,Medium,30,No
32,8,Small,16,No
40,8,Small,12,Yes
4,5,Enterprise,38,No
42,9,Medium,38,Yes
31,4,Enterprise,42,No
17,4,Medium,43,Yes
49,9,Enterprise,36,No
28,4,Small,36,No
47,7,Enterprise,13,No
33,8,Small,12,No
6,7,Enterprise,4,No
14,11,Medium,41,Yes
22,2,Small,6,No
15,9,Small,2,Yes
26,6,Enterprise,1,Yes
3,5,Medium,4,No
34,2,Small,57,No
21,11,Medium,38,Yes
33,9,Medium,18,Yes
36,3,Enterprise,44,No
45,4,Small,49,Yes
30,10,Enterprise,33,No
43,4,Medium,44,No
13,0,Small,7,Yes
21,1,Medium,41,No
37,12,Medium,49,No
38,6,Enterprise,43,Yes
16,0,Medium,42,No
31,0,Small,44,No
18,3,Enterprise,41,No
35,12,Enterprise,39,No
40,9,Medium,7,Yes
33,3,Small,46,Yes
18,5,Enterprise,42,No
11,8,Medium,44,No
21,12,Enterprise,14,Yes
25,1,Enterprise,53,Yes
40,10,Small,48,Yes
30,7,Small,13,No
16,12,Small,36,Yes
45,6,Small,23,No
4,4,Small,13,No
41,10,Small,45,No
28,6,Small,42,No
29,3,Enterprise,30,No
32,4,Medium,2,Yes
24,8,Small,8,Yes
2,12,Medium,11,No
23,9,Enterprise,19,Yes
40,4,Medium,13,Yes
40,10,Medium,17,No
32,6,Medium,41,Yes
36,12,Enterprise,7,Yes
9,6,Small,18,No
29,1,Enterprise,42,No
41,3,Medium,7,No
16,10,Small,52,Yes
33,0,Small,35,No
26,4,Enterprise,8,Yes
25,9,Enterprise,18,Yes
15,2,Small,15,No
36,10,Enterprise,25,No
17,10,Medium,47,No
45,10,Small,48,Yes
7,6,Medium,30,No
12,4,Enterprise,27,Yes
4,5,Medium,53,No
5,7,Enterprise,20,No
42,1,Medium,52,No
35,10,Enterprise,23,Yes
37,8,Small,57,Yes
41,8,Enterprise,48,Yes
19,12,Medium,4,No
46,6,Medium,12,No
17,10,Enterprise,14,Yes
1,11,Medium,2,No
20,5,Medium,6,No
22,4,Medium,48,No
21,10,Small,1,Yes
42,8,Medium,14,No
11,2,Enterprise,44,Yes
45,10,Enterprise,27,Yes
46,0,Enterprise,3,No
49,6,Medium,27,Yes
28,0,Enterprise,25,Yes
25,9,Enterprise,2,Yes
18,4,Medium,29,No
11,7,Enterprise,5,No
30,6,Enterprise,43,No
19,1,Small,6,Yes
17,3,Small,2,No
8,4,Medium,31,No
11,0,Enterprise,48,No
29,7,Small,31,No
19,10,Small,44,No
3,1,Small,35,No
18,7,Enterprise,49,Yes
3,3,Medium,31,No
42,3,Small,34,No
27,9,Small,59,Yes
38,11,Medium,23,No
26,0,Medium,25,No
1,3,Enterprise,40,No
30,4,Enterprise,30,No
16,2,Enterprise,8,No
6,7,Enterprise,14,Yes
18,12,Small,20,Yes
23,0,Small,59,No
2,12,Enterprise,36,No
29,6,Medium,24,No
10,9,Medium,19,No
28,2,Medium,30,No
45,3,Small,21,No
2,1,Medium,36,No
28,0,Enterprise,42,No
19,2,Small,45,No
32,1,Small,20,No
32,4,Enterprise,24,No
13,7,Enterprise,17,No
37,10,Medium,4,Yes
22,0,Enterprise,41,No
8,9,Enterprise,40,No
17,1,Enterprise,14,Yes
41,12,Enterprise,28,No
34,4,Small,5,Yes
48,2,Enterprise,49,No
29,7,Small,25,No
30,1,Medium,59,No
46,5,Small,50,Yes
9,11,Medium,12,Yes
38,0,Small,9,No
5,12,Enterprise,15,Yes
46,12,Small,46,No
38,0,Small,23,No
35,4,Enterprise,44,No
15,2,Small,54,No
3,8,Medium,46,Yes
29,5,Enterprise,46,No
31,3,Medium,37,No
46,3,Medium,52,No
7,8,Small,43,No
21,2,Medium,10,No
43,10,Enterprise,58,Yes
15,5,Medium,38,No
18,1,Medium,38,No
20,12,Small,56,Yes
3,11,Medium,30,Yes
19,5,Enterprise,25,No
19,12,Enterprise,25,No
42,4,Medium,19,No
24,11,Enterprise,29,Yes
49,2,Medium,50,No
23,0,Medium,8,No
49,5,Medium,50,No
42,8,Enterprise,55,Yes
20,5,Small,46,Yes
3,7,Enterprise,25,No
8,2,Enterprise,27,Yes
10,11,Enterprise,29,Yes
19,5,Medium,7,No
21,11,Medium,22,No
41,12,Enterprise,28,No
30,1,Enterprise,49,No
44,1,Small,33,No
41,7,Small,41,No
49,8,Medium,39,No
46,10,Enterprise,53,No
8,12,Medium,45,No
10,4,Medium,46,No
4,0,Small,35,No
12,4,Small,57,Yes
42,11,Enterprise,38,No
9,6,Small,50,No
41,2,Enterprise,12,No
44,8,Small,49,No
22,2,Small,9,No
47,6,Enterprise,16,Yes
28,9,Enterprise,51,No
12,1,Enterprise,6,No
34,3,Medium,3,No
45,1,Enterprise,50,No
29,0,Small,59,No
34,8,Enterprise,58,No
32,8,Enterprise,26,Yes
7,2,Small,26,No
38,10,Small,16,Yes
10,7,Small,26,No
40,7,Small,46,No
26,6,Small,15,Yes
28,5,Enterprise,23,No
3,4,Small,52,No
36,1,Medium,21,No
40,10,Enterprise,42,Yes
4,6,Small,14,No
5,7,Small,36,No
32,2,Enterprise,21,No
19,11,Enterprise,21,Yes
41,6,Small,51,Yes
35,0,Enterprise,2,Yes
35,6,Small,51,Yes
4,1,Medium,27,No
24,3,Medium,14,No
28,3,Small,24,No
45,12,Medium,28,No
29,2,Medium,14,Yes
3,11,Small,34,No
8,11,Enterprise,20,No
14,3,Medium,31,No
28,12,Small,54,No
21,11,Small,40,Yes
37,11,Enterprise,17,Yes
43,8,Medium,15,No
29,2,Enterprise,17,No
35,4,Enterprise,32,Yes
34,7,Small,43,Yes
31,1,Medium,46,No
10,7,Medium,28,Yes
14,0,Enterprise,53,Yes
31,10,Small,43,Yes
18,12,Enterprise,8,No
5,12,Enterprise,34,No
10,9,Small,16,No
37,1,Medium,28,No
48,10,Medium,5,Yes
34,8,Enterprise,32,Yes
44,5,Medium,32,No
32,4,Medium,2,No
10,10,Enterprise,3,Yes
26,11,Medium,6,Yes
25,1,Enterprise,8,Yes
29,6,Enterprise,37,Yes
23,0,Small,7,No
39,4,Medium,37,Yes
21,9,Medium,47,Yes
7,12,Medium,4,No
38,3,Enterprise,16,No
37,9,Small,21,Yes
7,7,Enterprise,56,Yes
8,8,Enterprise,30,Yes
9,4,Enterprise,55,No
39,6,Enterprise,43,Yes
31,0,Enterprise,38,No
11,1,Enterprise,9,No
4,0,Small,33,No
41,11,Enterprise,33,Yes
26,2,Enterprise,49,No
23,6,Enterprise,25,Yes
13,10,Medium,16,Yes
5,11,Small,38,Yes
1,8,Medium,43,Yes
5,1,Small,53,No
43,10,Medium,28,No
20,1,Enterprise,49,No
37,2,Medium,58,No
13,6,Enterprise,6,No
45,9,Small,31,Yes
43,8,Small,40,No
19,3,Small,24,No
24,5,Small,43,Yes
48,1,Small,47,No
41,1,Medium,11,No
30,1,Small,56,Yes
6,9,Enterprise,13,No
37,11,Small,7,Yes
25,1,Small,41,Yes
39,5,Small,2,No
41,5,Small,15,No
37,0,Small,45,No
14,1,Small,17,No
38,8,Enterprise,2,Yes
5,11,Small,19,No
35,12,Enterprise,7,Yes
10,11,Small,58,No
33,5,Medium,47,No
36,10,Medium,59,Yes
21,12,Enterprise,29,Yes
8,6,Small,42,No
45,2,Enterprise,28,No
38,1,Enterprise,38,No
21,12,Small,58,No
17,0,Small,4,No
12,6,Small,6,Yes
36,1,Medium,48,No
34,7,Medium,5,Yes
22,5,Small,5,Yes
32,11,Enterprise,5,No
21,10,Enterprise,57,No
6,5,Small,8,No
22,12,Enterprise,7,No
33,8,Small,40,Yes
40,7,Small,36,Yes
44,12,Small,52,No
16,9,Small,19,No
45,2,Medium,50,No
14,5,Small,26,No
22,7,Small,6,Yes
1,10,Small,50,No
40,9,Small,52,Yes
10,5,Small,11,No
36,11,Medium,10,Yes
22,1,Small,50,No
19,4,Medium,39,No
17,11,Enterprise,22,No
26,7,Small,20,Yes
9,12,Medium,46,No
43,1,Small,6,Yes
30,12,Enterprise,1,Yes
43,6,Small,52,No
25,0,Medium,15,No
14,6,Enterprise,14,No
7,6,Small,2,No
25,6,Medium,11,Yes
12,2,Medium,26,Yes
17,0,Enterprise,17,Yes
1,4,Medium,43,No
6,4,Medium,2,No
19,2,Enterprise,18,Yes
4,9,Enterprise,7,No
16,0,Small,46,No
14,6,Small,13,No
11,7,Medium,9,No
40,1,Medium,23,No
10,2,Medium,48,No
1,4,Small,20,No
29,3,Enterprise,43,No
49,3,Enterprise,20,No
30,1,Small,37,No
40,7,Enterprise,30,Yes
49,2,Medium,18,No
8,6,Small,3,No
46,3,Enterprise,14,No
48,9,Enterprise,24,No
28,5,Small,2,Yes
5,0,Enterprise,38,No
23,8,Enterprise,2,No
18,10,Medium,21,No
23,12,Medium,57,Yes
18,3,Enterprise,48,No
3,8,Small,42,No
29,0,Medium,6,Yes
8,8,Medium,9,No
16,6,Enterprise,15,No
10,3,Medium,47,No
30,9,Small,36,No
42,0,Small,26,No
41,3,Small,18,No
17,4,Medium,4,No
40,3,Medium,3,Yes
44,5,Enterprise,21,Yes
38,0,Medium,22,Yes
41,10,Enterprise,15,Yes
4,7,Small,17,Yes
2,5,Medium,49,Yes
