respondent_id,brand_choice,price_sensitivity,age_band,channel
R0738,Brand C,High,18-24,Email
R0739,Brand B,Medium,35-44,Search
R0740,Brand C,Medium,18-24,Search
R0741,Brand D,High,18-24,Social
R0742,Brand B,High,18-24,Search
R0743,Brand D,High,25-34,Search
R0744,Brand A,Medium,25-34,Social
R0745,Brand B,High,35-44,Email
R0746,Brand C,Low,25-34,Search
R0747,Brand A,Medium,25-34,Search
R0748,Brand B,Low,18-24,Social
R0749,Brand A,Medium,45-54,Email
R0750,Brand B,Low,35-44,Social
R0751,Brand B,Medium,35-44,Social
R0752,Brand B,Medium,45-54,Email
R0753,Brand C,Low,35-44,Social
R0754,Brand B,Low,45-54,Email
R0755,Brand C,Medium,35-44,Social
R0756,Brand C,High,45-54,Email
R0757,Brand A,High,18-24,Search
R0758,Brand A,Medium,18-24,Search
R0759,Brand C,Medium,45-54,Social
R0760,Brand B,Medium,18-24,Email
R0761,Brand D,Low,35-44,Social
R0762,Brand D,High,25-34,Email
R0763,Brand B,Low,18-24,Email
R0764,Brand C,Low,35-44,Email
R0765,Brand A,High,55+,Social
R0766,Brand D,Low,25-34,Search
R0767,Brand A,Medium,45-54,Email
R0768,Brand A,Low,45-54,Search
R0769,Brand D,High,25-34,Social
R0770,Brand B,High,25-34,Email
R0771,Brand B,High,25-34,Search
R0772,Brand B,High,45-54,Email
R0773,Brand A,High,35-44,Email
R0774,Brand C,High,18-24,Search
R0775,Brand A,Low,55+,Search
R0776,Brand C,Medium,18-24,Search
R0777,Brand A,High,25-34,Email
R0778,Brand C,Low,35-44,Search
R0779,Brand A,Low,55+,Email
R0780,Brand B,High,35-44,Email
R0781,Brand D,Medium,45-54,Search
R0782,Brand A,Medium,18-24,Social
R0783,Brand B,Medium,18-24,Search
R0784,Brand A,Low,25-34,Search
R0785,Brand C,High,18-24,Social
R0786,Brand D,High,45-54,Search
R0787,Brand B,High,45-54,Email
R0788,Brand A,Medium,45-54,Social
R0789,Brand C,Medium,55+,Search
R0790,Brand D,Medium,18-24,Search
R0791,Brand A,Low,18-24,Social
R0792,Brand B,Low,35-44,Search
R0793,Brand A,Low,45-54,Search
R0794,Brand D,Medium,35-44,Search
R0795,Brand A,High,25-34,Email
R0796,Brand B,Medium,18-24,Search
R0797,Brand A,Medium,35-44,Search
R0798,Brand C,Medium,18-24,Search
R0799,Brand D,High,45-54,Social
R0800,Brand A,High,25-34,Email
R0801,Brand C,High,45-54,Search
R0802,Brand C,Medium,18-24,Email
R0803,Brand A,Low,25-34,Social
R0804,Brand A,Medium,55+,Social
R0805,Brand D,High,25-34,Social
R0806,Brand A,High,18-24,Email
R0807,Brand B,Low,18-24,Search
R0808,Brand C,Low,35-44,Email
R0809,Brand D,Low,45-54,Search
R0810,Brand C,Low,35-44,Search
R0811,Brand A,Low,25-34,Search
R0812,Brand C,Medium,25-34,Search
R0813,Brand C,High,25-34,Email
R0814,Brand A,Medium,18-24,Search
R0815,Brand A,High,18-24,Social
R0816,Brand A,Medium,18-24,Search
R0817,Brand D,Medium,35-44,Social
R0818,Brand D,Medium,45-54,Email
R0819,Brand A,High,25-34,Email
R0820,Brand B,Medium,35-44,Search
R0821,Brand C,Low,18-24,Search
R0822,Brand A,High,35-44,Search
R0823,Brand D,High,25-34,Search
R0824,Brand A,Medium,25-34,Search
R0825,Brand A,Medium,45-54,Search
R0826,Brand B,Low,45-54,Search
R0827,Brand D,Medium,18-24,Email
R0828,Brand A,Medium,25-34,Search
R0829,Brand C,Low,35-44,Search
R0830,Brand D,High,25-34,Search
R0831,Brand C,Medium,35-44,Search
R0832,Brand D,Low,45-54,Social
R0833,Brand D,Medium,25-34,Search
R0834,Brand A,High,25-34,Social
R0835,Brand B,Medium,45-54,Search
R0836,Brand A,Medium,25-34,Email
R0837,Brand B,High,25-34,Search
R0838,Brand B,High,25-34,Email
R0839,Brand C,Low,35-44,Email
R0840,Brand D,Medium,55+,Social
R0841,Brand D,Medium,45-54,Search
R0842,Brand C,High,35-44,Email
R0843,Brand C,High,35-44,Social
R0844,Brand B,Medium,35-44,Social
R0845,Brand A,High,35-44,Search
R0846,Brand D,High,25-34,Search
R0847,Brand C,High,25-34,Search
R0848,Brand C,Medium,25-34,Social
R0849,Brand C,Low,35-44,Social
R0850,Brand A,High,25-34,Email
R0851,Brand A,Medium,35-44,Social
R0852,Brand C,Low,35-44,Search
R0853,Brand D,Low,35-44,Search
R0854,Brand A,Low,35-44,Search
R0855,Brand A,High,45-54,Email
R0856,Brand C,High,55+,Search
R0857,Brand C,Low,45-54,Email
R0858,Brand B,High,35-44,Search
R0859,Brand C,Medium,25-34,Email
R0860,Brand D,Low,25-34,Email
R0861,Brand C,Medium,18-24,Search
R0862,Brand D,High,25-34,Search
R0863,Brand D,Medium,45-54,Search
R0864,Brand A,Medium,35-44,Social
R0865,Brand B,Medium,45-54,Search
R0866,Brand C,Medium,55+,Search
R0867,Brand B,Medium,55+,Email
R0868,Brand C,Medium,55+,Email
R0869,Brand C,Medium,45-54,Search
R0870,Brand C,High,45-54,Social
R0871,Brand C,Medium,25-34,Social
R0872,Brand C,Medium,55+,Email
R0873,Brand D,High,25-34,Search
R0874,Brand D,High,18-24,Email
R0875,Brand B,Medium,45-54,Social
R0876,Brand A,Low,45-54,Search
R0877,Brand A,Low,45-54,Search
R0878,Brand B,Low,18-24,Email
R0879,Brand B,High,45-54,Search
R0880,Brand A,Low,25-34,Search
R0881,Brand A,High,35-44,Email
R0882,Brand C,Medium,25-34,Search
R0883,Brand C,High,45-54,Email
R0884,Brand A,High,25-34,Social
R0885,Brand C,High,25-34,Search
R0886,Brand D,High,35-44,Email
R0887,Brand A,High,35-44,Email
R0888,Brand A,High,55+,Email
R0889,Brand A,High,45-54,Search
R0890,Brand A,Medium,35-44,Search
R0891,Brand B,Low,25-34,Social
R0892,Brand D,High,25-34,Social
R0893,Brand C,Low,18-24,Search
R0894,Brand C,High,25-34,Social
R0895,Brand D,Medium,45-54,Social
R0896,Brand A,Medium,25-34,Email
R0897,Brand D,Medium,35-44,Social
R0898,Brand C,Medium,45-54,Social
R0899,Brand A,High,55+,Email
R0900,Brand C,Medium,35-44,Email
R0901,Brand A,Low,18-24,Search
R0902,Brand C,Medium,35-44,Email
R0903,Brand D,Low,25-34,Search
R0904,Brand C,Medium,18-24,Search
R0905,Brand B,High,35-44,Search
R0906,Brand D,Low,25-34,Search
R0907,Brand D,High,35-44,Search
R0908,Brand D,High,55+,Search
R0909,Brand A,High,35-44,Social
R0910,Brand C,Medium,25-34,Search
R0911,Brand A,Medium,55+,Email
R0912,Brand D,Medium,25-34,Search
R0913,Brand C,Medium,25-34,Search
R0914,Brand C,Low,55+,Email
R0915,Brand C,Low,18-24,Search
R0916,Brand C,Low,55+,Email
R0917,Brand B,Low,25-34,Email
R0918,Brand B,Medium,35-44,Email
R0919,Brand A,High,25-34,Social
R0920,Brand A,Low,35-44,Search
R0921,Brand A,Medium,35-44,Email
R0922,Brand C,Medium,35-44,Email
R0923,Brand C,Medium,45-54,Email
R0924,Brand C,High,35-44,Search
R0925,Brand A,Medium,45-54,Email
R0926,Brand B,Medium,25-34,Social
R0927,Brand B,Low,35-44,Social
R0928,Brand D,High,45-54,Email
R0929,Brand B,Medium,18-24,Social
R0930,Brand C,Low,25-34,Search
R0931,Brand A,Medium,35-44,Email
R0932,Brand C,Medium,25-34,Email
R0933,Brand A,High,25-34,Search
R0934,Brand B,High,45-54,Social
R0935,Brand C,Medium,18-24,Email
R0936,Brand D,Medium,45-54,Social
R0937,Brand B,High,18-24,Search
R0938,Brand C,High,55+,Email
R0939,Brand D,High,45-54,Social
R0940,Brand D,Medium,45-54,Email
R0941,Brand D,High,18-24,Social
R0942,Brand A,Medium,18-24,Search
R0943,Brand A,Medium,25-34,Search
R0944,Brand D,Medium,18-24,Search
R0945,Brand A,Medium,35-44,Email
R0946,Brand C,High,18-24,Search
R0947,Brand A,Low,25-34,Email
R0948,Brand A,Medium,25-34,Search
R0949,Brand A,High,45-54,Search
R0950,Brand C,High,45-54,Social
R0951,Brand B,High,35-44,Search
R0952,Brand B,Medium,25-34,Email
R0953,Brand D,Medium,55+,Email
R0954,Brand A,Medium,45-54,Search
R0955,Brand C,High,25-34,Social
R0956,Brand B,High,35-44,Email
R0957,Brand B,High,45-54,Search
R0958,Brand D,Medium,18-24,Email
R0959,Brand A,Low,35-44,Social
R0960,Brand D,Medium,18-24,Email
R0961,Brand B,Low,18-24,Email
R0962,Brand C,Low,45-54,Email
R0963,Brand B,Low,45-54,Search
R0964,Brand A,High,45-54,Search
R0965,Brand B,Medium,25-34,Email
R0966,Brand C,Medium,45-54,Search
R0967,Brand C,Medium,25-34,Search
R0968,Brand D,Low,35-44,Search
R0969,Brand D,Medium,25-34,Search
R0970,Brand B,High,55+,Search
R0971,Brand D,Medium,18-24,Email
R0972,Brand B,Low,18-24,Email
R0973,Brand B,Low,35-44,Search
R0974,Brand B,Medium,35-44,Social
R0975,Brand D,Medium,45-54,Social
R0976,Brand C,High,45-54,Search
R0977,Brand B,High,35-44,Search
R0978,Brand A,Low,35-44,Search
R0979,Brand A,Medium,45-54,Email
R0980,Brand C,High,35-44,Search
R0981,Brand B,Medium,55+,Search
R0982,Brand A,High,35-44,Email
R0983,Brand A,Medium,45-54,Social
R0984,Brand D,Medium,35-44,Search
R0985,Brand D,Low,25-34,Email
R0986,Brand A,Medium,55+,Search
R0987,Brand B,Medium,45-54,Search
R0988,Brand C,Medium,18-24,Search
R0989,Brand D,High,18-24,Social
R0990,Brand C,Low,18-24,Search
R0991,Brand A,Medium,25-34,Search
R0992,Brand B,Medium,18-24,Search
R0993,Brand D,Medium,55+,Search
R0994,Brand A,Medium,55+,Search
R0995,Brand B,Medium,45-54,Email
R0996,Brand B,Low,35-44,Email
R0997,Brand A,Medium,25-34,Search
R0998,Brand C,High,25-34,Search
R0999,Brand D,Medium,35-44,Social
R1000,Brand C,Medium,25-34,Email
R1001,Brand D,High,18-24,Social
R1002,Brand A,Low,25-34,Email
R1003,Brand A,Medium,45-54,Email
R1004,Brand C,High,35-44,Search
R1005,Brand C,Low,25-34,Search
R1006,Brand D,High,35-44,Social
R1007,Brand B,Low,35-44,Search
R1008,Brand A,Low,45-54,Search
R1009,Brand A,Medium,55+,Search
R1010,Brand D,High,25-34,Search
R1011,Brand B,Low,35-44,Email
R1012,Brand C,High,18-24,Social
R1013,Brand D,Medium,35-44,Email
R1014,Brand A,High,45-54,Email
R1015,Brand C,High,25-34,Search
R1016,Brand D,High,35-44,Search
R1017,Brand A,Medium,18-24,Search
R1018,Brand B,Medium,35-44,Search
R1019,Brand B,Medium,25-34,Search
R1020,Brand B,High,25-34,Email
R1021,Brand D,Medium,18-24,Search
R1022,Brand B,Medium,35-44,Search
R1023,Brand A,High,35-44,Search
R1024,Brand A,Medium,18-24,Social
R1025,Brand C,Low,45-54,Social
R1026,Brand C,High,45-54,Email
R1027,Brand B,Low,55+,Search
R1028,Brand B,Medium,25-34,Search
R1029,Brand B,High,45-54,Email
R1030,Brand D,High,45-54,Search
R1031,Brand D,Medium,18-24,Email
R1032,Brand B,High,25-34,Email
R1033,Brand C,Medium,25-34,Search
R1034,Brand D,Medium,35-44,Search
R1035,Brand B,Medium,25-34,Search
R1036,Brand B,Low,35-44,Social
R1037,Brand D,High,35-44,Search
R1038,Brand D,High,18-24,Search
R1039,Brand D,High,55+,Email
R1040,Brand A,Medium,18-24,Email
R1041,Brand C,Medium,18-24,Search
R1042,Brand B,High,25-34,Search
R1043,Brand C,Medium,45-54,Search
R1044,Brand A,Medium,35-44,Social
R1045,Brand B,Low,55+,Social
R1046,Brand A,Low,45-54,Social
R1047,Brand C,Medium,55+,Search
R1048,Brand B,Low,45-54,Search
R1049,Brand C,Low,25-34,Search
R1050,Brand A,Medium,45-54,Email
R1051,Brand B,Low,35-44,Social
R1052,Brand A,Medium,45-54,Search
R1053,Brand D,Medium,25-34,Social
R1054,Brand D,High,35-44,Social
R1055,Brand A,High,25-34,Search
R1056,Brand C,Low,25-34,Social
R1057,Brand D,High,45-54,Search
R1058,Brand C,Low,18-24,Email
R1059,Brand C,Medium,25-34,Email
R1060,Brand C,High,35-44,Search
R1061,Brand B,Low,35-44,Search
R1062,Brand B,Low,18-24,Search
R1063,Brand A,Medium,18-24,Email
R1064,Brand D,Medium,18-24,Search
R1065,Brand B,High,18-24,Email
R1066,Brand C,Low,25-34,Search
R1067,Brand A,Low,25-34,Email
R1068,Brand B,Low,25-34,Search
R1069,Brand B,High,55+,Search
R1070,Brand B,High,55+,Email
R1071,Brand A,Medium,45-54,Email
R1072,Brand C,High,25-34,Search
R1073,Brand A,Medium,25-34,Email
R1074,Brand B,Low,18-24,Search
R1075,Brand B,High,45-54,Search
R1076,Brand B,High,18-24,Search
R1077,Brand C,High,45-54,Search
R1078,Brand A,Medium,25-34,Email
R1079,Brand C,High,18-24,Search
R1080,Brand A,Medium,25-34,Search
R1081,Brand B,High,45-54,Social
R1082,Brand C,Medium,45-54,Search
R1083,Brand A,High,25-34,Email
R1084,Brand D,Medium,25-34,Search
R1085,Brand D,Medium,45-54,Search
R1086,Brand A,High,25-34,Search
R1087,Brand A,Medium,35-44,Search
R1088,Brand B,High,45-54,Social
R1089,Brand B,Medium,45-54,Search
R1090,Brand D,Low,18-24,Search
R1091,Brand B,Low,18-24,Search
R1092,Brand B,High,25-34,Search
R1093,Brand D,High,35-44,Social
R1094,Brand A,High,18-24,Search
R1095,Brand D,Low,25-34,Search
R1096,Brand C,Low,45-54,Search
R1097,Brand B,Medium,35-44,Search
R1098,Brand B,Medium,45-54,Search
R1099,Brand B,Medium,45-54,Email
R1100,Brand A,Medium,35-44,Social
R1101,Brand A,Low,18-24,Search
R1102,Brand B,High,35-44,Search
R1103,Brand D,Medium,18-24,Email
R1104,Brand C,Medium,45-54,Email
R1105,Brand B,High,45-54,Social
R1106,Brand C,High,35-44,Email
R1107,Brand D,Low,55+,Social
R1108,Brand C,Medium,35-44,Social
R1109,Brand C,Medium,18-24,Search
R1110,Brand A,Medium,25-34,Social
R1111,Brand D,Medium,25-34,Email
R1112,Brand C,High,18-24,Social
R1113,Brand B,Medium,25-34,Search
R1114,Brand D,High,25-34,Email
R1115,Brand B,Medium,35-44,Email
R1116,Brand C,Medium,25-34,Email
R1117,Brand D,Low,35-44,Social
R1118,Brand B,Medium,55+,Search
R1119,Brand B,High,55+,Email
R1120,Brand D,High,25-34,Search
R1121,Brand B,High,18-24,Social
R1122,Brand B,Medium,35-44,Search
R1123,Brand B,High,25-34,Search
R1124,Brand D,Low,35-44,Email
R1125,Brand C,Medium,45-54,Search
R1126,Brand C,High,35-44,Search
R1127,Brand C,Low,25-34,Search
R1128,Brand B,Medium,55+,Email
R1129,Brand A,High,45-54,Social
R1130,Brand B,High,45-54,Search
R1131,Brand D,High,35-44,Search
R1132,Brand C,High,18-24,Search
R1133,Brand C,Medium,35-44,Search
R1134,Brand B,Medium,35-44,Search
R1135,Brand D,Medium,45-54,Social
R1136,Brand B,Medium,45-54,Search
R1137,Brand C,Medium,18-24,Email
R1138,Brand D,Low,25-34,Social
R1139,Brand A,Medium,35-44,Search
R1140,Brand D,High,45-54,Search
R1141,Brand A,Low,35-44,Search
R1142,Brand A,Low,18-24,Search
R1143,Brand C,High,25-34,Search
R1144,Brand D,Low,25-34,Search
R1145,Brand A,High,25-34,Search
R1146,Brand A,High,35-44,Email
R1147,Brand B,Medium,18-24,Search
R1148,Brand A,High,45-54,Email
R1149,Brand D,High,45-54,Email
R1150,Brand C,Medium,35-44,Social
R1151,Brand A,High,45-54,Social
R1152,Brand C,Medium,45-54,Search
R1153,Brand D,Low,25-34,Social
R1154,Brand A,High,25-34,Social
R1155,Brand B,High,55+,Search
R1156,Brand B,Medium,25-34,Search
R1157,Brand A,High,35-44,Search
R1158,Brand B,High,25-34,Search
R1159,Brand B,Low,25-34,Social
R1160,Brand C,Medium,55+,Search
R1161,Brand C,Medium,18-24,Search
R1162,Brand D,Medium,45-54,Search
R1163,Brand B,Medium,35-44,Search
R1164,Brand B,Medium,45-54,Search
R1165,Brand C,Low,55+,Email
R1166,Brand A,Medium,35-44,Social
R1167,Brand A,High,45-54,Email
R1168,Brand C,Medium,25-34,Social
R1169,Brand C,High,45-54,Social
R1170,Brand A,Medium,25-34,Social
R1171,Brand C,Low,18-24,Email
R1172,Brand C,Medium,45-54,Email
R1173,Brand C,Low,35-44,Search
R1174,Brand C,Medium,45-54,Search
R1175,Brand D,High,35-44,Email
R1176,Brand B,Low,55+,Search
R1177,Brand A,Medium,35-44,Social
R1178,Brand B,High,55+,Email
R1179,Brand B,Medium,35-44,Email
R1180,Brand C,Low,35-44,Search
R1181,Brand B,Low,18-24,Search
R1182,Brand B,Medium,18-24,Social
R1183,Brand C,Low,35-44,Search
R1184,Brand B,Medium,25-34,Search
R1185,Brand A,Medium,35-44,Search
R1186,Brand D,Low,45-54,Email
R1187,Brand B,Medium,25-34,Search
R1188,Brand A,High,25-34,Email
R1189,Brand D,High,18-24,Search
R1190,Brand C,High,55+,Search
R1191,Brand B,High,45-54,Search
R1192,Brand D,High,35-44,Search
R1193,Brand C,Medium,35-44,Social
R1194,Brand B,Medium,55+,Email
R1195,Brand B,High,55+,Social
R1196,Brand B,High,45-54,Social
R1197,Brand A,Medium,25-34,Search
R1198,Brand A,Medium,18-24,Email
R1199,Brand D,High,35-44,Social
R1200,Brand A,Medium,25-34,Social
R1201,Brand B,Medium,18-24,Social
R1202,Brand D,Low,35-44,Social
R1203,Brand C,Low,25-34,Search
R1204,Brand A,High,55+,Search
R1205,Brand D,Medium,45-54,Search
R1206,Brand C,Low,18-24,Social
R1207,Brand C,High,55+,Search
R1208,Brand C,Medium,35-44,Email
R1209,Brand C,Low,25-34,Search
R1210,Brand B,High,55+,Email
R1211,Brand B,High,18-24,Search
R1212,Brand B,Low,35-44,Search
R1213,Brand D,Medium,55+,Email
R1214,Brand D,High,25-34,Search
R1215,Brand D,Medium,18-24,Search
R1216,Brand A,High,25-34,Search
R1217,Brand C,Medium,45-54,Email
R1218,Brand B,High,25-34,Search
R1219,Brand A,High,35-44,Email
R1220,Brand D,High,35-44,Search
R1221,Brand B,High,18-24,Email
R1222,Brand B,Low,35-44,Email
R1223,Brand D,High,25-34,Search
R1224,Brand B,Medium,45-54,Social
R1225,Brand C,Medium,55+,Search
R1226,Brand B,Medium,25-34,Email
R1227,Brand A,High,55+,Social
R1228,Brand A,High,25-34,Social
R1229,Brand D,Medium,55+,Email
R1230,Brand B,High,35-44,Social
R1231,Brand C,Medium,45-54,Search
R1232,Brand C,Low,35-44,Email
R1233,Brand D,Medium,45-54,Social
R1234,Brand B,High,45-54,Search
R1235,Brand C,High,45-54,Search
R1236,Brand C,High,18-24,Email
R1237,Brand C,Medium,18-24,Search
R1238,Brand A,Low,55+,Search
R1239,Brand B,Low,25-34,Email
R1240,Brand B,Medium,35-44,Search
R1241,Brand B,High,55+,Social
R1242,Brand B,High,18-24,Search
R1243,Brand A,Medium,18-24,Email
R1244,Brand C,High,55+,Search
R1245,Brand A,Low,35-44,Search
R1246,Brand C,Medium,25-34,Social
R1247,Brand D,High,55+,Search
R1248,Brand D,Medium,45-54,Search
R1249,Brand A,High,35-44,Search
R1250,Brand A,Medium,18-24,Search
R1251,Brand B,Medium,45-54,Email
R1252,Brand B,Medium,18-24,Search
R1253,Brand A,Low,35-44,Search
R1254,Brand B,Medium,35-44,Search
R1255,Brand C,Medium,35-44,Email
R1256,Brand D,High,18-24,Search
R1257,Brand B,Medium,35-44,Search
R1258,Brand B,Medium,55+,Social
R1259,Brand D,Low,18-24,Search
R1260,Brand A,Low,18-24,Email
R1261,Brand D,Medium,35-44,Email
R1262,Brand D,Medium,25-34,Social
R1263,Brand D,Medium,45-54,Search
R1264,Brand D,Low,18-24,Search
R1265,Brand C,High,55+,Search
R1266,Brand C,High,18-24,Search
R1267,Brand B,Medium,45-54,Search
R1268,Brand D,High,25-34,Search
R1269,Brand B,Medium,45-54,Social
R1270,Brand B,Medium,18-24,Social
R1271,Brand B,High,35-44,Search
R1272,Brand A,High,18-24,Search
R1273,Brand C,Medium,18-24,Email
R1274,Brand A,Low,18-24,Social
R1275,Brand B,Medium,45-54,Search
R1276,Brand A,Medium,18-24,Email
R1277,Brand C,High,25-34,Email
R1278,Brand A,High,18-24,Email
R1279,Brand D,Low,55+,Search
R1280,Brand C,Medium,35-44,Social
R1281,Brand C,Medium,25-34,Social
R1282,Brand D,Medium,25-34,Email
R1283,Brand A,High,35-44,Email
R1284,Brand A,Medium,35-44,Social
R1285,Brand C,Medium,25-34,Search
R1286,Brand A,Medium,18-24,Email
R1287,Brand D,High,35-44,Search
R1288,Brand D,High,18-24,Email
R1289,Brand C,Medium,18-24,Search
R1290,Brand C,Low,18-24,Search
R1291,Brand D,Medium,25-34,Social
R1292,Brand B,Medium,18-24,Social
R1293,Brand D,Medium,35-44,Social
R1294,Brand D,Low,18-24,Social
R1295,Brand C,High,45-54,Email
R1296,Brand A,High,18-24,Email
R1297,Brand D,Medium,35-44,Search
R1298,Brand A,High,35-44,Search
R1299,Brand B,Low,18-24,Search
R1300,Brand B,Medium,35-44,Search
R1301,Brand C,High,25-34,Search
R1302,Brand D,Medium,35-44,Search
R1303,Brand C,Medium,35-44,Email
R1304,Brand A,High,35-44,Search
R1305,Brand B,High,45-54,Search
R1306,Brand C,Low,25-34,Email
R1307,Brand B,Medium,55+,Search
R1308,Brand B,High,25-34,Social
R1309,Brand B,Medium,18-24,Social
R1310,Brand C,Medium,18-24,Search
R1311,Brand A,Medium,18-24,Search
R1312,Brand D,High,45-54,Search
R1313,Brand B,High,35-44,Social
R1314,Brand B,Low,25-34,Social
R1315,Brand D,High,18-24,Search
R1316,Brand B,Medium,35-44,Social
R1317,Brand B,High,35-44,Email
R1318,Brand C,High,35-44,Email
R1319,Brand A,High,18-24,Email
R1320,Brand C,High,45-54,Search
R1321,Brand D,High,18-24,Email
R1322,Brand D,Medium,55+,Email
R1323,Brand A,Medium,45-54,Email
R1324,Brand C,Low,35-44,Search
R1325,Brand A,High,18-24,Email
R1326,Brand A,High,25-34,Search
R1327,Brand D,High,25-34,Email
R1328,Brand A,High,18-24,Search
R1329,Brand A,Medium,35-44,Email
R1330,Brand C,Medium,35-44,Search
R1331,Brand D,High,55+,Social
R1332,Brand A,High,25-34,Email
R1333,Brand A,High,35-44,Social
R1334,Brand D,Medium,45-54,Email
R1335,Brand A,High,45-54,Email
R1336,Brand A,High,55+,Email
R1337,Brand A,Low,45-54,Search
R1338,Brand A,Medium,55+,Search
R1339,Brand D,High,18-24,Email
R1340,Brand A,Medium,25-34,Social
R1341,Brand C,Low,25-34,Search
R1342,Brand D,Medium,35-44,Email
R1343,Brand C,Medium,25-34,Email
R1344,Brand A,Medium,18-24,Search
R1345,Brand B,Medium,18-24,Search
R1346,Brand A,High,25-34,Email
R1347,Brand B,Medium,55+,Social
R1348,Brand B,Low,35-44,Search
R1349,Brand A,High,45-54,Social
R1350,Brand A,High,25-34,Email
R1351,Brand C,Medium,55+,Search
R1352,Brand D,Low,55+,Search
R1353,Brand B,Medium,45-54,Social
R1354,Brand D,Medium,35-44,Social
R1355,Brand C,High,25-34,Search
R1356,Brand A,Low,25-34,Search
R1357,Brand A,Medium,35-44,Search
R1358,Brand B,Medium,45-54,Search
R1359,Brand D,Medium,18-24,Search
R1360,Brand D,Low,35-44,Search
R1361,Brand A,High,35-44,Email
R1362,Brand D,High,18-24,Search
R1363,Brand D,High,55+,Search
R1364,Brand A,High,18-24,Email
R1365,Brand D,Medium,18-24,Search
R1366,Brand B,Medium,45-54,Email
R1367,Brand B,Medium,35-44,Search
R1368,Brand A,Medium,45-54,Social
R1369,Brand B,High,35-44,Search
R1370,Brand B,Low,25-34,Search
R1371,Brand B,High,35-44,Email
R1372,Brand D,Low,35-44,Search
R1373,Brand B,High,18-24,Search
R1374,Brand B,Low,35-44,Email
R1375,Brand B,High,55+,Search
R1376,Brand C,Medium,45-54,Search
R1377,Brand C,Low,35-44,Search
R1378,Brand D,Medium,45-54,Search
R1379,Brand D,High,25-34,Email
R1380,Brand B,Low,35-44,Search
R1381,Brand A,Low,35-44,Search
R1382,Brand C,Low,45-54,Email
R1383,Brand B,Low,55+,Search
R1384,Brand D,High,35-44,Search
R1385,Brand C,High,55+,Social
R1386,Brand B,Medium,35-44,Search
R1387,Brand D,Low,25-34,Email
R1388,Brand B,Medium,45-54,Social
R1389,Brand C,Medium,25-34,Search
R1390,Brand A,High,18-24,Search
R1391,Brand B,Medium,25-34,Search
R1392,Brand D,Low,55+,Email
R1393,Brand A,Low,18-24,Email
R1394,Brand D,High,55+,Social
R1395,Brand C,Medium,25-34,Email
R1396,Brand A,Medium,18-24,Social
R1397,Brand C,Medium,45-54,Search
R1398,Brand A,Low,18-24,Social
R1399,Brand C,High,35-44,Social
R1400,Brand C,Low,18-24,Search
R1401,Brand C,Medium,55+,Email
R1402,Brand B,Medium,45-54,Social
R1403,Brand B,Medium,35-44,Search
R1404,Brand B,Low,55+,Social
R1405,Brand D,Medium,55+,Email
R1406,Brand B,Medium,18-24,Email
R1407,Brand B,Medium,18-24,Search
R1408,Brand D,Medium,45-54,Email
R1409,Brand B,Low,35-44,Email
R1410,Brand C,Medium,35-44,Search
R1411,Brand B,High,45-54,Search
R1412,Brand A,High,35-44,Search
R1413,Brand D,Low,18-24,Search
R1414,Brand B,Low,25-34,Social
R1415,Brand A,High,45-54,Social
R1416,Brand A,Low,35-44,Search
R1417,Brand D,Medium,45-54,Search
R1418,Brand C,Medium,18-24,Social
R1419,Brand D,Medium,25-34,Search
R1420,Brand B,High,45-54,Search
R1421,Brand C,Medium,25-34,Email
R1422,Brand A,Medium,18-24,Email
R1423,Brand C,Medium,45-54,Search
R1424,Brand B,Low,45-54,Search
R1425,Brand D,Low,25-34,Social
R1426,Brand D,High,35-44,Search
R1427,Brand D,Medium,45-54,Social
R1428,Brand C,Medium,25-34,Search
R1429,Brand D,Medium,45-54,Search
R1430,Brand D,Low,55+,Social
R1431,Brand C,Low,18-24,Search
R1432,Brand A,Low,35-44,Social
R1433,Brand D,Medium,25-34,Search
R1434,Brand B,Medium,35-44,Social
R1435,Brand D,Medium,35-44,Search
R1436,Brand A,High,18-24,Email
R1437,Brand A,High,45-54,Email
R1438,Brand B,High,55+,Search
R1439,Brand B,Low,45-54,Search
R1440,Brand A,High,25-34,Social
R1441,Brand C,Medium,35-44,Email
R1442,Brand B,High,25-34,Search
R1443,Brand D,Medium,25-34,Social
R1444,Brand C,Low,25-34,Search
R1445,Brand B,High,35-44,Search
R1446,Brand B,Medium,25-34,Social
R1447,Brand C,Medium,18-24,Search
R1448,Brand B,Medium,55+,Search
R1449,Brand B,High,25-34,Search
R1450,Brand D,Low,45-54,Search
R1451,Brand B,Medium,25-34,Email
R1452,Brand C,Low,45-54,Email
R1453,Brand C,Low,18-24,Search
R1454,Brand A,Low,35-44,Email
R1455,Brand B,High,25-34,Email
R1456,Brand A,High,25-34,Search
R1457,Brand B,High,25-34,Social
R1458,Brand D,Medium,35-44,Social
R1459,Brand D,Medium,18-24,Search
R1460,Brand B,Low,35-44,Email
R1461,Brand B,Low,35-44,Social
R1462,Brand C,Medium,25-34,Search
R1463,Brand B,Medium,25-34,Social
R1464,Brand C,Medium,35-44,Email
R1465,Brand C,High,45-54,Email
R1466,Brand C,High,35-44,Search
R1467,Brand D,Medium,35-44,Social
R1468,Brand A,High,35-44,Search
R1469,Brand D,High,35-44,Social
R1470,Brand B,Medium,25-34,Email
R1471,Brand B,Low,55+,Email
R1472,Brand D,Medium,55+,Email
R1473,Brand A,Low,35-44,Social
