customer_id,stage,channel,frequency_segment,age_band
C0734,Purchase,Email,Medium,35-44
C0735,Awareness,Search,Low,45-54
C0736,Consideration,Email,Medium,45-54
C0737,Consideration,Email,Medium,25-34
C0738,Consideration,Email,High,45-54
C0739,Purchase,Social,Low,35-44
C0740,Awareness,Social,Low,55+
C0741,Awareness,Social,Medium,35-44
C0742,Consideration,Email,Medium,45-54
C0743,Awareness,Email,Medium,55+
C0744,Purchase,Search,Low,35-44
C0745,Purchase,Social,High,25-34
C0746,Awareness,Email,Low,18-24
C0747,Awareness,Social,Medium,35-44
C0748,Purchase,Email,High,45-54
C0749,Consideration,Email,High,45-54
C0750,Purchase,Email,Low,25-34
C0751,Purchase,Email,High,55+
C0752,Consideration,Social,Low,25-34
C0753,Awareness,Email,High,55+
C0754,Purchase,Email,Low,55+
C0755,Purchase,Email,Medium,35-44
C0756,Consideration,Email,Low,45-54
C0757,Purchase,Social,Medium,45-54
C0758,Awareness,Social,Medium,45-54
C0759,Purchase,Email,High,45-54
C0760,Purchase,Email,High,18-24
C0761,Awareness,Social,Low,45-54
C0762,Purchase,Email,Low,35-44
C0763,Consideration,Email,Low,35-44
C0764,Purchase,Social,Medium,25-34
C0765,Awareness,Social,Low,35-44
C0766,Awareness,Email,Low,18-24
C0767,Purchase,Social,Medium,45-54
C0768,Consideration,Search,Low,45-54
C0769,Consideration,Search,Low,18-24
C0770,Purchase,Email,High,35-44
C0771,Purchase,Email,Medium,25-34
C0772,Awareness,Email,Low,35-44
C0773,Awareness,Search,Low,45-54
C0774,Purchase,Email,Low,35-44
C0775,Awareness,Social,High,35-44
C0776,Awareness,Social,Medium,45-54
C0777,Awareness,Social,High,18-24
C0778,Consideration,Email,Low,25-34
C0779,Purchase,Email,Medium,55+
C0780,Awareness,Email,Low,25-34
C0781,Awareness,Social,Medium,18-24
C0782,Consideration,Social,Medium,45-54
C0783,Purchase,Email,Low,25-34
C0784,Consideration,Search,Low,45-54
C0785,Consideration,Email,High,25-34
C0786,Consideration,Email,Low,18-24
C0787,Consideration,Email,Medium,45-54
C0788,Purchase,Social,Low,25-34
C0789,Consideration,Search,Low,35-44
C0790,Awareness,Email,Low,25-34
C0791,Awareness,Search,Low,18-24
C0792,Purchase,Email,Medium,18-24
C0793,Purchase,Social,Low,25-34
C0794,Purchase,Social,Low,35-44
C0795,Purchase,Social,Low,45-54
C0796,Consideration,Social,Low,35-44
C0797,Awareness,Email,Low,35-44
C0798,Purchase,Email,Low,55+
C0799,Awareness,Email,High,35-44
C0800,Purchase,Email,Low,35-44
C0801,Consideration,Email,Low,35-44
C0802,Awareness,Social,Medium,45-54
C0803,Purchase,Search,High,55+
C0804,Awareness,Email,High,35-44
C0805,Purchase,Social,Medium,18-24
C0806,Awareness,Email,Low,45-54
C0807,Consideration,Email,Medium,25-34
C0808,Consideration,Social,Low,18-24
C0809,Awareness,Email,Low,55+
C0810,Consideration,Social,Low,35-44
C0811,Purchase,Email,Low,35-44
C0812,Purchase,Social,Low,25-34
C0813,Consideration,Email,Medium,35-44
C0814,Purchase,Social,Low,25-34
C0815,Purchase,Search,Low,25-34
C0816,Awareness,Search,High,55+
C0817,Consideration,Social,Low,45-54
C0818,Consideration,Email,Medium,45-54
C0819,Purchase,Email,High,55+
C0820,Awareness,Social,Low,18-24
C0821,Awareness,Social,High,35-44
C0822,Consideration,Email,Low,18-24
C0823,Awareness,Email,Low,45-54
C0824,Consideration,Social,Medium,45-54
C0825,Consideration,Search,Low,25-34
C0826,Consideration,Email,Low,25-34
C0827,Awareness,Search,Medium,18-24
C0828,Purchase,Email,High,25-34
C0829,Awareness,Email,Low,55+
C0830,Purchase,Social,High,35-44
C0831,Purchase,Social,Medium,55+
C0832,Awareness,Social,Low,18-24
C0833,Consideration,Social,Medium,55+
C0834,Consideration,Email,Medium,18-24
C0835,Consideration,Social,Low,25-34
C0836,Awareness,Social,Low,35-44
C0837,Awareness,Email,High,35-44
C0838,Consideration,Social,Medium,25-34
C0839,Consideration,Email,Medium,55+
C0840,Awareness,Social,High,35-44
C0841,Purchase,Email,Medium,35-44
C0842,Consideration,Email,Low,45-54
C0843,Awareness,Social,Low,45-54
C0844,Purchase,Email,Low,45-54
C0845,Consideration,Search,Low,55+
C0846,Purchase,Email,Medium,35-44
C0847,Awareness,Social,Low,25-34
C0848,Consideration,Search,Low,35-44
C0849,Purchase,Social,Low,45-54
C0850,Awareness,Search,High,55+
C0851,Awareness,Email,Low,35-44
C0852,Consideration,Email,Low,25-34
C0853,Consideration,Social,Low,55+
C0854,Consideration,Search,Low,45-54
C0855,Purchase,Email,Low,35-44
C0856,Purchase,Email,Medium,25-34
C0857,Consideration,Social,High,25-34
C0858,Consideration,Social,Low,35-44
C0859,Consideration,Social,Low,35-44
C0860,Awareness,Email,Low,55+
C0861,Awareness,Social,Medium,35-44
C0862,Awareness,Social,High,55+
C0863,Awareness,Email,Low,55+
C0864,Purchase,Email,High,45-54
C0865,Awareness,Search,Medium,55+
C0866,Purchase,Email,Low,25-34
C0867,Awareness,Social,Medium,45-54
C0868,Purchase,Email,Medium,45-54
C0869,Purchase,Email,Low,55+
C0870,Consideration,Social,High,55+
C0871,Consideration,Social,Low,18-24
C0872,Consideration,Social,Low,35-44
C0873,Consideration,Search,Low,25-34
C0874,Consideration,Email,Medium,25-34
C0875,Purchase,Social,Medium,25-34
C0876,Consideration,Search,Low,35-44
C0877,Consideration,Email,Low,25-34
C0878,Consideration,Email,Medium,18-24
C0879,Awareness,Email,Low,35-44
C0880,Consideration,Search,High,25-34
C0881,Purchase,Social,Low,55+
C0882,Consideration,Email,Medium,35-44
C0883,Consideration,Social,Low,55+
C0884,Purchase,Social,Low,35-44
C0885,Consideration,Email,Low,25-34
C0886,Purchase,Social,Low,18-24
C0887,Consideration,Search,High,18-24
C0888,Purchase,Social,Medium,35-44
C0889,Purchase,Search,Low,25-34
C0890,Consideration,Email,Low,18-24
C0891,Awareness,Social,Low,25-34
C0892,Consideration,Email,Medium,25-34
C0893,Awareness,Search,High,45-54
C0894,Purchase,Email,High,25-34
C0895,Awareness,Social,Medium,45-54
C0896,Purchase,Social,Medium,45-54
C0897,Awareness,Email,Low,55+
C0898,Awareness,Search,Low,35-44
C0899,Purchase,Search,Low,35-44
C0900,Purchase,Social,Medium,35-44
C0901,Consideration,Search,Medium,18-24
C0902,Awareness,Search,Low,25-34
C0903,Purchase,Email,Medium,25-34
C0904,Awareness,Social,Medium,25-34
C0905,Consideration,Email,Low,25-34
C0906,Awareness,Social,High,18-24
C0907,Consideration,Email,Low,25-34
C0908,Consideration,Social,High,45-54
C0909,Awareness,Social,Medium,55+
C0910,Awareness,Email,Low,35-44
C0911,Consideration,Social,Low,25-34
C0912,Purchase,Social,High,18-24
C0913,Purchase,Email,Low,45-54
C0914,Consideration,Social,High,45-54
C0915,Purchase,Social,Medium,45-54
C0916,Purchase,Social,Low,35-44
C0917,Awareness,Social,Low,35-44
C0918,Consideration,Social,Low,35-44
C0919,Consideration,Social,Low,25-34
C0920,Awareness,Social,Low,55+
C0921,Purchase,Social,Medium,45-54
C0922,Consideration,Search,Medium,25-34
C0923,Consideration,Search,Low,35-44
C0924,Consideration,Email,Low,25-34
C0925,Purchase,Search,Low,35-44
C0926,Consideration,Search,Low,45-54
C0927,Purchase,Social,Low,35-44
C0928,Purchase,Search,Medium,55+
C0929,Awareness,Email,High,35-44
C0930,Consideration,Social,High,25-34
C0931,Awareness,Email,Medium,25-34
C0932,Awareness,Social,Low,45-54
C0933,Awareness,Social,Medium,45-54
C0934,Purchase,Search,Low,35-44
C0935,Consideration,Email,Low,25-34
C0936,Awareness,Email,High,25-34
C0937,Purchase,Social,Low,35-44
C0938,Awareness,Email,Medium,35-44
C0939,Consideration,Email,High,55+
C0940,Awareness,Social,Low,25-34
C0941,Awareness,Email,Low,18-24
C0942,Consideration,Social,Low,35-44
C0943,Purchase,Social,Medium,35-44
C0944,Awareness,Social,Low,35-44
C0945,Awareness,Search,Low,18-24
C0946,Purchase,Email,Low,35-44
C0947,Purchase,Social,Medium,18-24
C0948,Consideration,Email,Low,35-44
C0949,Consideration,Email,Low,35-44
C0950,Purchase,Social,Medium,35-44
C0951,Purchase,Email,Low,35-44
C0952,Consideration,Email,Low,35-44
C0953,Awareness,Social,High,55+
C0954,Purchase,Search,Medium,25-34
C0955,Purchase,Email,High,45-54
C0956,Purchase,Social,High,25-34
C0957,Awareness,Email,Low,55+
C0958,Consideration,Social,Low,35-44
C0959,Awareness,Email,Medium,45-54
C0960,Awareness,Social,Low,45-54
C0961,Purchase,Social,Low,55+
C0962,Consideration,Social,Medium,25-34
C0963,Awareness,Search,High,35-44
C0964,Consideration,Social,Low,45-54
C0965,Purchase,Social,Medium,35-44
C0966,Purchase,Email,Medium,35-44
C0967,Awareness,Search,Medium,55+
C0968,Consideration,Social,Low,25-34
C0969,Consideration,Email,Medium,55+
C0970,Consideration,Search,Low,35-44
C0971,Awareness,Social,Medium,45-54
C0972,Purchase,Search,Low,35-44
C0973,Purchase,Social,Medium,18-24
C0974,Awareness,Search,Medium,55+
C0975,Consideration,Email,Low,25-34
C0976,Consideration,Email,Low,25-34
C0977,Awareness,Social,Medium,45-54
C0978,Consideration,Social,Medium,25-34
C0979,Awareness,Social,Low,45-54
C0980,Awareness,Email,Medium,35-44
C0981,Consideration,Search,Low,25-34
C0982,Purchase,Email,Low,18-24
C0983,Awareness,Email,Low,45-54
C0984,Consideration,Search,Low,45-54
C0985,Awareness,Social,Medium,18-24
C0986,Purchase,Email,High,35-44
C0987,Awareness,Social,Medium,35-44
C0988,Awareness,Email,High,18-24
C0989,Awareness,Email,Low,45-54
C0990,Purchase,Email,Low,18-24
C0991,Consideration,Email,Low,18-24
C0992,Purchase,Email,Low,45-54
C0993,Purchase,Search,Low,35-44
C0994,Purchase,Email,High,18-24
C0995,Purchase,Email,Medium,35-44
C0996,Awareness,Social,Low,55+
C0997,Purchase,Social,Low,45-54
C0998,Awareness,Social,Medium,45-54
C0999,Purchase,Email,Low,35-44
C1000,Purchase,Email,Low,55+
C1001,Purchase,Email,Low,45-54
C1002,Awareness,Search,High,25-34
C1003,Awareness,Social,Low,45-54
C1004,Awareness,Email,Low,18-24
C1005,Consideration,Email,Medium,45-54
C1006,Consideration,Email,Low,35-44
C1007,Awareness,Email,High,45-54
C1008,Purchase,Email,High,18-24
C1009,Consideration,Social,Low,55+
C1010,Purchase,Social,Low,25-34
C1011,Purchase,Email,Low,55+
C1012,Awareness,Social,High,35-44
C1013,Consideration,Social,Medium,25-34
C1014,Purchase,Email,Medium,55+
C1015,Purchase,Social,Low,25-34
C1016,Purchase,Search,Medium,25-34
C1017,Consideration,Social,Medium,18-24
C1018,Awareness,Search,Medium,35-44
C1019,Purchase,Email,Medium,35-44
C1020,Consideration,Social,Low,35-44
C1021,Consideration,Social,Medium,55+
C1022,Consideration,Email,Medium,25-34
C1023,Awareness,Search,High,35-44
C1024,Consideration,Social,Medium,55+
C1025,Consideration,Social,Medium,25-34
C1026,Purchase,Social,Low,35-44
C1027,Purchase,Search,High,35-44
C1028,Consideration,Email,Low,25-34
C1029,Purchase,Email,Medium,18-24
C1030,Awareness,Social,Low,25-34
C1031,Awareness,Email,Medium,18-24
C1032,Purchase,Email,Low,25-34
C1033,Purchase,Email,Low,45-54
C1034,Consideration,Social,Low,25-34
C1035,Consideration,Email,Low,55+
C1036,Awareness,Email,Low,18-24
C1037,Consideration,Social,Low,45-54
C1038,Awareness,Search,Low,35-44
C1039,Awareness,Email,Medium,55+
C1040,Awareness,Email,Medium,35-44
C1041,Awareness,Email,Low,25-34
C1042,Purchase,Email,Low,35-44
C1043,Awareness,Email,High,55+
C1044,Consideration,Email,Low,45-54
C1045,Consideration,Social,Low,18-24
C1046,Awareness,Email,Low,45-54
C1047,Consideration,Search,Medium,25-34
C1048,Purchase,Social,High,45-54
C1049,Consideration,Search,Medium,55+
C1050,Awareness,Email,Medium,25-34
C1051,Awareness,Search,Low,18-24
C1052,Awareness,Email,High,18-24
C1053,Consideration,Email,Medium,55+
C1054,Awareness,Email,High,18-24
C1055,Consideration,Email,Low,35-44
C1056,Awareness,Search,Low,45-54
C1057,Awareness,Search,Medium,35-44
C1058,Consideration,Search,Low,25-34
C1059,Awareness,Social,Low,25-34
C1060,Consideration,Social,Low,25-34
C1061,Purchase,Search,Medium,25-34
C1062,Purchase,Email,Low,45-54
C1063,Purchase,Social,Medium,25-34
C1064,Purchase,Search,Low,35-44
C1065,Purchase,Email,Medium,45-54
C1066,Purchase,Search,Medium,18-24
C1067,Purchase,Email,Medium,35-44
C1068,Purchase,Social,Medium,18-24
C1069,Purchase,Search,Medium,55+
C1070,Consideration,Email,Low,45-54
C1071,Awareness,Email,Low,35-44
C1072,Awareness,Email,High,35-44
C1073,Purchase,Search,Medium,45-54
C1074,Consideration,Email,Low,45-54
C1075,Awareness,Email,Low,18-24
C1076,Purchase,Social,Low,18-24
C1077,Consideration,Email,High,45-54
C1078,Awareness,Social,Medium,25-34
C1079,Awareness,Email,Low,35-44
C1080,Purchase,Social,Low,35-44
C1081,Consideration,Social,High,35-44
C1082,Awareness,Email,Low,25-34
C1083,Purchase,Email,Low,18-24
C1084,Purchase,Email,High,55+
C1085,Awareness,Search,Medium,18-24
C1086,Awareness,Email,Low,55+
C1087,Purchase,Social,Low,35-44
C1088,Consideration,Email,High,18-24
C1089,Awareness,Social,Low,45-54
C1090,Purchase,Search,Low,35-44
C1091,Awareness,Email,Low,35-44
C1092,Purchase,Social,Low,35-44
C1093,Awareness,Email,Low,25-34
C1094,Consideration,Social,Medium,35-44
C1095,Consideration,Email,Medium,25-34
C1096,Consideration,Search,Low,18-24
C1097,Awareness,Social,Low,25-34
C1098,Consideration,Email,Low,35-44
C1099,Consideration,Social,Low,18-24
C1100,Consideration,Search,High,55+
C1101,Consideration,Search,Medium,18-24
C1102,Purchase,Social,Low,35-44
C1103,Purchase,Email,Medium,45-54
C1104,Consideration,Email,Medium,45-54
C1105,Purchase,Search,Low,45-54
C1106,Consideration,Social,High,25-34
C1107,Purchase,Email,Low,18-24
C1108,Consideration,Search,Medium,55+
C1109,Purchase,Social,Low,45-54
C1110,Awareness,Email,Low,18-24
C1111,Awareness,Email,Medium,18-24
C1112,Purchase,Email,High,45-54
C1113,Consideration,Email,High,25-34
C1114,Purchase,Social,High,45-54
C1115,Purchase,Search,Medium,25-34
C1116,Awareness,Search,Low,45-54
C1117,Consideration,Social,Low,35-44
C1118,Consideration,Social,Low,55+
C1119,Awareness,Email,Medium,35-44
C1120,Purchase,Search,Low,25-34
C1121,Awareness,Email,Medium,18-24
C1122,Purchase,Social,Low,45-54
C1123,Consideration,Social,Medium,25-34
C1124,Awareness,Email,Low,25-34
C1125,Purchase,Search,Medium,45-54
C1126,Purchase,Social,Low,45-54
C1127,Awareness,Email,Medium,55+
C1128,Consideration,Email,Low,45-54
C1129,Purchase,Search,Medium,35-44
C1130,Awareness,Search,Low,25-34
C1131,Purchase,Search,Medium,18-24
C1132,Purchase,Search,High,55+
C1133,Awareness,Social,Low,35-44
C1134,Purchase,Email,Medium,18-24
C1135,Consideration,Search,Low,35-44
C1136,Awareness,Social,Low,25-34
C1137,Awareness,Email,High,18-24
C1138,Purchase,Social,Medium,35-44
C1139,Consideration,Search,High,45-54
C1140,Consideration,Search,Low,25-34
C1141,Awareness,Email,Low,35-44
C1142,Consideration,Email,High,45-54
C1143,Awareness,Social,Low,25-34
C1144,Awareness,Email,Medium,35-44
C1145,Awareness,Search,Low,45-54
C1146,Consideration,Email,Low,25-34
C1147,Purchase,Search,Low,35-44
C1148,Consideration,Email,High,45-54
C1149,Awareness,Email,Low,18-24
C1150,Consideration,Email,Medium,25-34
C1151,Consideration,Social,Medium,45-54
C1152,Awareness,Email,Medium,25-34
C1153,Purchase,Email,Medium,35-44
C1154,Consideration,Email,Medium,35-44
C1155,Purchase,Social,Low,35-44
C1156,Awareness,Social,Low,25-34
C1157,Purchase,Search,Low,45-54
C1158,Purchase,Social,High,25-34
C1159,Purchase,Social,Low,18-24
C1160,Purchase,Social,Low,18-24
C1161,Purchase,Social,High,25-34
C1162,Purchase,Social,Low,45-54
C1163,Purchase,Search,Low,45-54
C1164,Consideration,Email,Medium,35-44
C1165,Purchase,Email,Low,45-54
C1166,Consideration,Email,Low,18-24
C1167,Consideration,Social,Medium,35-44
C1168,Consideration,Social,Low,18-24
C1169,Purchase,Email,Low,35-44
C1170,Consideration,Email,Medium,45-54
C1171,Consideration,Social,Low,45-54
C1172,Purchase,Email,Low,45-54
C1173,Awareness,Search,Low,25-34
C1174,Purchase,Email,Medium,18-24
C1175,Awareness,Search,Low,45-54
C1176,Awareness,Search,Low,55+
C1177,Consideration,Search,Low,35-44
C1178,Awareness,Social,Low,25-34
C1179,Purchase,Social,Low,25-34
C1180,Awareness,Search,Low,45-54
C1181,Consideration,Email,Low,45-54
C1182,Consideration,Email,Low,45-54
C1183,Purchase,Email,Low,25-34
C1184,Consideration,Email,Medium,18-24
C1185,Purchase,Email,Low,25-34
C1186,Consideration,Search,High,25-34
C1187,Purchase,Email,Low,25-34
C1188,Consideration,Social,Low,18-24
C1189,Consideration,Search,Low,35-44
C1190,Awareness,Search,Low,18-24
C1191,Purchase,Social,Low,45-54
C1192,Awareness,Social,Low,25-34
C1193,Consideration,Email,High,25-34
C1194,Awareness,Social,Low,18-24
C1195,Purchase,Social,Low,25-34
C1196,Consideration,Social,High,55+
C1197,Purchase,Search,High,18-24
C1198,Purchase,Search,Medium,25-34
C1199,Awareness,Email,Medium,35-44
C1200,Purchase,Social,High,35-44
C1201,Purchase,Search,Low,35-44
C1202,Consideration,Social,Medium,25-34
C1203,Consideration,Social,Medium,35-44
C1204,Purchase,Search,Medium,45-54
C1205,Consideration,Social,Medium,35-44
C1206,Awareness,Email,High,35-44
C1207,Awareness,Email,Low,25-34
C1208,Purchase,Email,Low,18-24
C1209,Purchase,Email,Low,25-34
C1210,Awareness,Email,Low,18-24
C1211,Awareness,Email,Low,45-54
C1212,Awareness,Social,Low,25-34
C1213,Awareness,Email,Low,18-24
C1214,Consideration,Social,Medium,18-24
C1215,Awareness,Email,Low,18-24
C1216,Awareness,Social,Medium,55+
C1217,Awareness,Social,Low,25-34
C1218,Awareness,Email,Low,55+
C1219,Consideration,Social,Medium,45-54
C1220,Consideration,Social,Low,25-34
C1221,Consideration,Email,Low,55+
C1222,Awareness,Social,High,35-44
C1223,Awareness,Email,High,18-24
C1224,Consideration,Search,Low,25-34
C1225,Consideration,Email,Low,18-24
C1226,Awareness,Search,Low,55+
C1227,Purchase,Email,Low,45-54
C1228,Consideration,Email,Low,35-44
C1229,Consideration,Email,Low,18-24
C1230,Consideration,Email,Low,25-34
C1231,Consideration,Email,Low,18-24
C1232,Purchase,Social,Low,55+
C1233,Purchase,Social,Low,45-54
C1234,Consideration,Email,Low,45-54
C1235,Awareness,Email,Low,25-34
C1236,Awareness,Social,Low,35-44
C1237,Purchase,Search,High,45-54
C1238,Purchase,Email,Medium,55+
C1239,Consideration,Search,High,25-34
C1240,Consideration,Email,Low,35-44
C1241,Purchase,Email,Low,45-54
C1242,Purchase,Email,Medium,55+
C1243,Awareness,Email,Low,18-24
C1244,Awareness,Email,Low,35-44
C1245,Awareness,Email,Low,55+
C1246,Awareness,Social,Low,25-34
C1247,Purchase,Social,Low,35-44
C1248,Awareness,Social,Medium,25-34
C1249,Consideration,Social,Low,35-44
C1250,Purchase,Search,High,25-34
C1251,Awareness,Email,Low,35-44
C1252,Consideration,Email,Low,45-54
C1253,Purchase,Email,Low,25-34
C1254,Consideration,Social,High,35-44
C1255,Consideration,Email,High,25-34
C1256,Purchase,Social,Medium,25-34
C1257,Consideration,Email,Low,45-54
C1258,Awareness,Social,Low,45-54
C1259,Awareness,Email,Low,25-34
C1260,Purchase,Social,Low,35-44
C1261,Purchase,Email,Low,45-54
C1262,Purchase,Email,Low,18-24
C1263,Purchase,Social,Low,45-54
C1264,Purchase,Email,Low,25-34
C1265,Purchase,Social,Low,25-34
C1266,Consideration,Social,Medium,55+
C1267,Awareness,Social,Low,35-44
C1268,Purchase,Social,Low,45-54
C1269,Consideration,Social,Medium,18-24
C1270,Purchase,Search,Low,55+
C1271,Awareness,Social,Low,25-34
C1272,Awareness,Email,Low,18-24
C1273,Awareness,Social,Medium,25-34
C1274,Purchase,Email,Medium,45-54
C1275,Awareness,Email,Low,35-44
C1276,Consideration,Social,Low,25-34
C1277,Purchase,Search,Medium,25-34
C1278,Awareness,Social,Low,45-54
C1279,Consideration,Email,Medium,35-44
C1280,Awareness,Email,Medium,45-54
C1281,Awareness,Social,High,55+
C1282,Consideration,Social,Low,25-34
C1283,Awareness,Search,Low,18-24
C1284,Awareness,Email,Low,35-44
C1285,Awareness,Social,Low,55+
C1286,Consideration,Search,Low,25-34
C1287,Purchase,Social,Medium,45-54
C1288,Consideration,Search,Medium,55+
C1289,Awareness,Email,Low,55+
C1290,Purchase,Email,Low,25-34
C1291,Purchase,Email,Low,55+
C1292,Awareness,Email,Medium,18-24
C1293,Awareness,Email,Low,25-34
C1294,Awareness,Social,Low,35-44
C1295,Awareness,Email,Low,55+
C1296,Awareness,Email,High,25-34
C1297,Purchase,Social,High,45-54
C1298,Awareness,Email,Medium,35-44
C1299,Purchase,Email,Low,18-24
C1300,Consideration,Social,Low,18-24
C1301,Awareness,Email,Low,45-54
C1302,Purchase,Search,Low,45-54
C1303,Purchase,Email,Low,35-44
C1304,Consideration,Social,High,25-34
C1305,Purchase,Search,Low,35-44
C1306,Awareness,Search,Low,35-44
C1307,Awareness,Search,Low,25-34
C1308,Awareness,Social,Medium,35-44
C1309,Awareness,Search,Low,55+
C1310,Awareness,Search,Low,45-54
C1311,Consideration,Social,Medium,18-24
C1312,Awareness,Search,Low,55+
C1313,Consideration,Search,Low,35-44
C1314,Purchase,Email,High,18-24
C1315,Consideration,Email,Low,25-34
C1316,Consideration,Email,Medium,25-34
C1317,Purchase,Email,Low,18-24
C1318,Consideration,Social,Low,55+
C1319,Awareness,Email,High,45-54
C1320,Consideration,Email,Medium,35-44
C1321,Awareness,Search,Low,35-44
C1322,Consideration,Search,Medium,35-44
C1323,Awareness,Email,Medium,25-34
C1324,Awareness,Email,Low,25-34
C1325,Purchase,Email,Low,25-34
C1326,Awareness,Email,Low,45-54
C1327,Awareness,Email,Low,35-44
C1328,Awareness,Email,Low,55+
C1329,Purchase,Email,Medium,25-34
C1330,Awareness,Email,Medium,45-54
C1331,Consideration,Email,Low,35-44
C1332,Awareness,Social,High,25-34
C1333,Awareness,Email,Low,35-44
C1334,Purchase,Email,Medium,35-44
C1335,Purchase,Email,Medium,45-54
C1336,Consideration,Search,Medium,18-24
C1337,Awareness,Search,Medium,55+
C1338,Consideration,Email,Medium,18-24
C1339,Consideration,Email,Low,18-24
C1340,Purchase,Email,Medium,25-34
C1341,Consideration,Search,High,18-24
C1342,Awareness,Email,Low,35-44
C1343,Purchase,Email,Low,35-44
C1344,Awareness,Email,Low,25-34
C1345,Purchase,Email,High,25-34
C1346,Awareness,Email,Medium,18-24
C1347,Purchase,Social,Low,55+
C1348,Awareness,Social,Medium,35-44
C1349,Purchase,Email,Low,25-34
C1350,Awareness,Social,Low,25-34
C1351,Consideration,Email,Medium,25-34
C1352,Consideration,Social,Low,25-34
C1353,Purchase,Email,High,18-24
C1354,Awareness,Social,High,18-24
C1355,Awareness,Email,Low,35-44
C1356,Purchase,Search,Low,45-54
C1357,Awareness,Social,Medium,45-54
C1358,Awareness,Search,Medium,25-34
C1359,Awareness,Email,Low,18-24
C1360,Purchase,Email,Medium,25-34
C1361,Purchase,Search,Low,45-54
C1362,Purchase,Social,Medium,35-44
C1363,Awareness,Email,High,25-34
C1364,Awareness,Search,Low,45-54
C1365,Awareness,Social,Medium,55+
C1366,Awareness,Social,Low,18-24
C1367,Awareness,Social,Medium,45-54
C1368,Consideration,Email,Medium,25-34
C1369,Purchase,Email,Low,45-54
C1370,Consideration,Social,High,55+
C1371,Consideration,Social,Medium,25-34
C1372,Consideration,Social,High,18-24
C1373,Awareness,Social,High,18-24
C1374,Awareness,Social,Medium,25-34
C1375,Consideration,Social,Low,25-34
C1376,Purchase,Social,Medium,35-44
C1377,Purchase,Social,Low,35-44
C1378,Consideration,Social,Low,35-44
C1379,Consideration,Email,Low,45-54
C1380,Purchase,Email,Low,45-54
C1381,Purchase,Search,Low,25-34
C1382,Consideration,Email,Medium,45-54
C1383,Consideration,Email,Low,55+
C1384,Awareness,Search,Low,35-44
C1385,Awareness,Social,Low,35-44
C1386,Awareness,Social,High,18-24
C1387,Consideration,Search,Low,45-54
C1388,Awareness,Email,Medium,18-24
C1389,Purchase,Social,Low,35-44
C1390,Awareness,Social,Medium,25-34
C1391,Awareness,Social,Low,55+
C1392,Purchase,Search,Low,25-34
C1393,Consideration,Email,High,35-44
C1394,Consideration,Search,High,25-34
C1395,Awareness,Email,Low,35-44
C1396,Consideration,Social,Low,35-44
C1397,Purchase,Email,Low,45-54
C1398,Awareness,Social,Low,25-34
C1399,Purchase,Search,Low,18-24
C1400,Consideration,Email,Low,25-34
C1401,Consideration,Social,High,55+
C1402,Consideration,Social,Low,35-44
C1403,Awareness,Search,Low,18-24
C1404,Consideration,Social,Medium,25-34
C1405,Consideration,Search,Medium,45-54
C1406,Awareness,Social,Low,35-44
C1407,Awareness,Email,Medium,35-44
C1408,Awareness,Social,Low,45-54
C1409,Purchase,Email,Low,35-44
C1410,Purchase,Social,Medium,55+
C1411,Awareness,Social,Low,55+
C1412,Awareness,Email,Medium,35-44
C1413,Awareness,Social,Medium,25-34
C1414,Consideration,Social,Medium,55+
C1415,Consideration,Email,Low,55+
C1416,Purchase,Social,Low,45-54
C1417,Awareness,Social,Medium,45-54
C1418,Consideration,Social,Medium,45-54
C1419,Purchase,Email,Medium,25-34
C1420,Purchase,Social,Medium,25-34
C1421,Awareness,Email,Low,18-24
C1422,Consideration,Email,Low,55+
C1423,Purchase,Email,Low,25-34
C1424,Purchase,Email,Medium,45-54
C1425,Consideration,Email,High,25-34
C1426,Awareness,Search,Low,18-24
C1427,Purchase,Email,Low,25-34
C1428,Consideration,Social,High,18-24
C1429,Consideration,Social,Medium,18-24
C1430,Purchase,Social,Low,25-34
C1431,Purchase,Social,Low,45-54
C1432,Purchase,Social,Medium,18-24
C1433,Awareness,Search,Low,35-44
C1434,Purchase,Email,Low,18-24
C1435,Consideration,Email,Low,35-44
C1436,Consideration,Social,Low,45-54
C1437,Consideration,Email,Low,18-24
C1438,Consideration,Email,Low,25-34
C1439,Awareness,Email,Medium,25-34
C1440,Awareness,Email,Medium,45-54
C1441,Awareness,Email,Low,25-34
C1442,Consideration,Email,Low,55+
C1443,Awareness,Social,Low,35-44
C1444,Awareness,Social,Low,45-54
C1445,Purchase,Social,Low,45-54
C1446,Consideration,Search,Low,55+
C1447,Awareness,Social,Low,35-44
C1448,Awareness,Email,Medium,45-54
C1449,Purchase,Search,Medium,35-44
C1450,Purchase,Email,Medium,25-34
C1451,Awareness,Email,Low,25-34
C1452,Purchase,Search,Medium,45-54
C1453,Purchase,Search,Medium,18-24
C1454,Awareness,Email,Low,55+
C1455,Consideration,Search,Medium,55+
C1456,Awareness,Social,High,35-44
C1457,Purchase,Email,Low,55+
C1458,Consideration,Email,Low,25-34
C1459,Consideration,Search,Low,35-44
C1460,Purchase,Search,Medium,35-44
C1461,Consideration,Search,Low,55+
C1462,Awareness,Social,Low,45-54
C1463,Consideration,Email,Low,25-34
C1464,Awareness,Email,Low,35-44
C1465,Awareness,Search,Low,25-34
C1466,Awareness,Social,Medium,55+
C1467,Purchase,Social,High,45-54
C1468,Awareness,Social,High,55+
